Num Points	Preprocessing Time	Average Query Time
500	0.4958474636077881	9.281444549560546e-05
1000	0.9540610313415527	9.490013122558594e-05
1500	1.346553087234497	8.672523498535156e-05
2000	1.820357322692871	9.696292877197266e-05
2500	2.3785219192504883	0.00011558055877685546
3000	2.9924962520599365	0.00012467575073242187
3500	3.346787452697754	0.00012593698501586913
4000	3.8158693313598633	0.0001248178482055664
4500	4.451263666152954	0.00015919065475463866
5000	5.018208265304565	9.460067749023437e-05
5500	5.589940071105957	0.00015635967254638673
6000	6.146537780761719	0.000126708984375
6500	6.749463319778442	0.00014524459838867189
7000	8.572853803634644	0.0001340188980102539
7500	10.015300989151001	0.00015298748016357423
8000	10.720213174819946	0.0001501164436340332
8500	9.443652629852295	0.0001588287353515625
9000	9.98958444595337	0.00017189550399780273
9500	10.463743925094604	0.0001360321044921875
10000	10.993957281112671	0.00014029359817504882
10500	10.54554033279419	0.00014335918426513673
11000	11.247767448425293	0.0001444988250732422
11500	12.227715969085693	0.00015112066268920899
12000	12.135549068450928	0.0001349916458129883
12500	12.569474697113037	0.00015201711654663086
13000	13.066032886505127	0.00015715599060058593
13500	13.530592441558838	0.00013704919815063477
14000	14.303712368011475	0.00014023303985595702
14500	14.71463918685913	0.00014059686660766602
15000	15.338399171829224	0.00016057205200195314
15500	15.721753120422363	0.00013887691497802733
16000	16.329501628875732	0.00015468311309814453
16500	16.6929349899292	0.00013834571838378906
17000	17.372788667678833	0.0001660928726196289
17500	18.011714458465576	0.00014252233505249024
18000	18.13740587234497	0.00014468050003051757
18500	19.249548196792603	0.00015118789672851564
19000	19.182772874832153	0.00016912174224853515
19500	19.641369819641113	0.00016468381881713868
20000	20.56321668624878	0.000163790225982666
20500	20.630084991455078	0.0001751375198364258
21000	21.23878788948059	0.00014359951019287108
21500	22.92949914932251	0.00017231607437133789
22000	22.652095794677734	0.0001450071334838867
22500	23.245671272277832	0.00017280006408691405
23000	23.93635582923889	0.00014800548553466796
23500	23.534194707870483	0.00016498899459838867
24000	23.860923290252686	0.0001490168571472168
24500	24.696167945861816	0.00014665508270263672
25000	25.13394069671631	0.00016213607788085938
25500	25.882436752319336	0.00017656850814819336
26000	26.281713008880615	0.0001907658576965332
26500	29.104770183563232	0.00016897010803222656
27000	28.608194589614868	0.0001700592041015625
27500	29.96638035774231	0.00016408157348632812
28000	28.932273864746094	0.00019156503677368163
28500	29.988382816314697	0.00017559051513671875
29000	30.744736194610596	0.00017011213302612304
29500	31.07878065109253	0.00015927457809448243
30000	32.1174533367157	0.00016698074340820314
